cleaning/wiper(l); limpiadora  
pore/stoma(p); poro  
become fluffy/get puffed up(e); esponjita  
dental floss/floss(h); hilo dental  
interdental(i); interdental  
massage⇒(m); masajear  
gums(e); encía  
brush/brush⇒(c); cepillo  
pig/hog/swine/beast(c); cerdo  
rinse⇒(e); enjuagarse  
brightener(a); abrillantador  
order⇒/make [sb] responsible for [sth](e); encargar  
one o'clock/one/nail(u); uña  
revitalizing(r); revitalizante  
almond(a); almendra  
scalp(c); cuero cabelludo  
brass(l); latón  
conditioner(a); acondicionador  
scale(e); escama  
nail polish/enamel⇒(e); esmalte  
renovating/refreshing(r); renovadora  
end/finish/tip(t); terminación  
loose-leaf notebook(e); exfoliador  
contaminating/contaminant/pollutant(c); contaminante  
enriching/rewarding(e); enriquecedor  
hydrate/carbohydrate(h); hidratos de carbono  
penetrate⇒/pierce⇒(p); penetrar  
rinse⇒(e); enjuagar  
dampen⇒/moisten⇒(h); humedecer  
tone⇒/tone up(t); tonificante  
chin/tip of the chin(b); barbilla  
tenderize⇒(a); ablandar  
moisturizing/moisturizer(h); hidratante  
trail/track/trace/vestige(r); rastro  
brush/paintbrush/hanger-on(b); brocha  
colony/community(c); colonia  
arid/gaunt(r); reseco  
shave/shave⇒(a); afeitado  
sideburn/watermelon(p); patilla  
evaporate⇒(e); evaporarse  
suppress⇒/abolish⇒/eliminate⇒(s); suprimir  
